zip,owner_utility,cca,notes,source
90248,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90248,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90248,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90249,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90249,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90250,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90250,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90251,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90251,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90254,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90254,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90255,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90255,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90260,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90260,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90261,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90262,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90262,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90263,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90263,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90264,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90264,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90265,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90265,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90266,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90266,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90270,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90270,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90272,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90272,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90272,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90274,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90274,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90275,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90275,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90275,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90277,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90277,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90278,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90278,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90280,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90280,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90290,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90290,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90291,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90291,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90291,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90292,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90292,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90292,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90293,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90293,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90301,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90301,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90302,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90302,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90303,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90303,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90304,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90304,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90305,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90305,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90306,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90311,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90401,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90401,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90402,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90402,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90402,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90403,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90403,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90403,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90404,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90404,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90405,LADWP,none,territory ZIPs; treated as commercial-eligible,LADWP Residential Electric Zone Tables
90405,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
90405,SDGE,none,climate zone mapping in source,SDG&E Utility Zip Codes by Climate Zones
90406,SCE,none,partial overlaps likely,CPUC SCE ZIP list + TECH SCE ZIP list
